"共有商品 61 樣，熱賣 9，圖片 61，討論 16，價格異動 6

Intel 第三代Pentium G2030【雙核】3.0GHZ/3M快取/55W, $1800↘$1750 ★

Intel 第四代 R. Celeron G1840【雙核】2.8GHZ/2M快取/54W, $1130 ★
Intel 第四代 R. Celeron G1850【雙核】2.9GHZ/2M快取/54W, $1230 ★
Intel 第四代 R. Pentium G3240【雙核】3.1GHZ/3M快取/54W, $1760 ★
Intel 第四代 R. Pentium G3250【雙核】3.2GHZ/3M快取/53W, $1890 ★
Intel 第四代 R. Pentium G3258【雙核】3.2GHz/3M快取/53W【20週年不鎖頻 】, $1980 ◆ ★
Intel 第四代Pentium G3420【雙核】3.2GHZ/3M快取/54W, $1890 ★
Intel 第四代 R. Pentium G3450【雙核】3.4GHZ/3M快取/54W, $2590 ★
Intel 第四代 I3-4130【雙核】3.4GHz/3M快取/HD4400/54W, $3350 ★
Intel 第四代 R. I3-4150【雙核】3.5GHz/3M快取/HD4400/54W, $3370 ★
Intel 第四代 R. I3-4160【雙核】3.6GHz/3M快取/HD4400/54W, $3500 ★
Intel 第四代 R. I3-4360【雙核】3.7GHz/4M快取/HD4600/54W, $4470 ★
Intel 第四代 I5-4440【四核】3.1GHz(↑3.3GHz)/6M快取/HD4600/84W, $5490 ◆ ★
Intel 第四代 R. I5-4460【四核】3.2GHz(↑3.4GHz)/6M快取/HD4600/84W, $5600 ★
Intel 第四代 I5-4570【四核】3.2GHz(↑3.6GHz)/6M快取/HD4600/84W, $5900 ◆ ★
Intel 第四代 R. I5-4590【四核】3.3GHz(↑3.7GHz)/6M快取/HD4600/84W, $6120 ★
Intel 第四代 R. I5-4690【四核】3.5GHz(↑3.9GHz)/6M快取/HD4600/84W, $6680 ★
Intel 第四代 R. I5-4690K【四核】3.5GHz(↑3.9GHz)/6M快取/HD4600/88W, $7300 ◆ ★
Intel 第四代 I7-4770【四核】3.4GHz(↑3.9GHz)/8M快取/HD4600/84W, $9150 ◆ ★
Intel 第四代 R. I7-4790【四核】3.6GHz(↑4GHz)/8M快取/HD4600/84W, $9410 ★
Intel 第四代 R. I7-4790K【四核】4.0GHz(↑4.4GHz)/8M快取/HD4600/88W, $10400 ★

Intel Xeon R. E3-1231 V3【四核】3.4GHz(↑3.8G)/8M快取/無內顯/80W, $7680 ★

Intel Core I7-4820K【四核】3.7GHz(↑3.9GHz)/10M快取/130W(相容於X79), $10150↘$10100 ★
Intel Core I7-4930K【六核】3.4GHz(↑3.9GHz)/12M快取/130W(相容於X79), $18100 ◆ ★
Intel Core I7-4960X【六核】3.6GHz(↑4.0GHz)/15M快取/130W(相容於X79), $31800 ◆ ★

Intel I7-5820K (Haswell-E)【六核】3.3GHz(↑3.8GHz)/15M/140W(相容於X99), $12700 ★
Intel I7-5930K (Haswell-E)【六核】3.5GHz(↑4.0GHz)/15M/140W(相容於X99), $18800 ★
Intel I7-5960X (Haswell-E)【八核】3.0GHz(↑3.3GHz)/20M/140W(相容於X99), $32600 ◆ ★
INTEL BXTS13A 盒裝原廠風扇 (適用I7-5820K、5930K、5960X), $990 ★

Intel Xeon E5-2620 V2【六核】2.1GHz(↑2.6GHz)/15M快取/80W(相容於X79), $12600 ★

AMD FX4200【四核】3.3G(↑3.9G)/125W/L3 8MB, $1990 ★ 熱賣
AMD FX4300【四核】3.8G(↑4.0G)/95W/L3 4MB【紅綠配省$50】, $2239 ★ 熱賣
AMD FX6300【六核】3.5G(↑4.1G)/95W/L3 8MB【紅綠配省$50】, $3100 ★ 熱賣
AMD FX8320E【八核】3.2G(↑4.0G)/95W/L3 8MB, $4390 ★
AMD FX8320【八核】3.5G(↑4.0G)/125W/L3 8MB, $4390 ★
AMD FX8350【八核】4.0G(↑4.2G)/125W/L3 8MB, $5290 ★
AMD FX8370E【八核】3.3G(↑4.3G)/95W/L3 8MB, $5890 ◆ ★
AMD FX8370【八核】4.0G(↑4.3G)/125W/L3 8MB, $5890 ★
AMD FX9370無風扇版本【八核】4.4G(↑4.7G)/220W, $6150 ★ 熱賣
AMD FX9370【八核】4.4G(↑4.7G)/220W【含C.M水冷】, $8200 ★

AMD Sempron 2650【雙核】1.45G/HD8240/1M快取/25W/28nm【紅綠省$50】, $1000 ◆ ★
AMD Sempron 3850【四核】1.3G/HD8280/2M快取/25W/28nm【紅綠省$50】, $1150 ◆ ★
AMD Athlon 5150【四核】1.6G/HD8400/2M快取/25W/28nm【紅綠省$100】, $1470 ◆ ★
AMD Athlon 5350【四核】2.05G/HD8400/2M快取/25W/28nm【紅綠省$100】, $1790 ◆ ★

AMD A4-4000【雙核】3.0G(↑3.2G)/HD7480/1M快取/65W/32nm, $990 ★ 熱賣
AMD A4-6300【雙核】3.7G(↑3.9G)/HD8370/1M快取/65W/32nm, $1090 ★
AMD A4-7300 【雙核】3.8G(↑4G)/HD8470/1M快取/65W/32nm, $1280 ★
AMD A6-6400K【雙核】3.9G(↑4.1G)/HD8470/1M快取/65W/32nm, $1450 ★ 熱賣
AMD X4-740【四核】3.2G(↑3.7G)/4M快取/65W/32nm/無內顯, $2060↘$1800 ★
AMD X4-750K【四核】3.4G(↑4.0G)/4M快取/100W/32nm/無內顯, $2230↘$1999 ◆ ★ 熱賣
AMD X4-760K【四核】3.8G(↑4.1G)/4M快取/100W/32nm/無內顯, $2550↘$2150 ★
AMD A8-5600K【四核】3.6G(↑3.9G)/HD7560/4M快取/100W/32nm, $2570 ◆ ★ 熱賣
AMD A8-6600K【四核】3.9G(↑4.2G)/HD8570/4M快取/100W/32nm, $2890 ◆ ★
AMD A10-6790K【四核】4.0G(↑4.3G)/HD8670/4M/【紅綠省150】, $3750 ★
AMD A10-6800K【四核】4.1G(↑4.4G)/HD8670/4M, $3760 ★

AMD A6-7400K【雙核】3.5G(↑3.9G)/Radeon R5/1M/65W/28nm, $1850 ★
